# Ribosome density, mRNA level, and translational efficiency measurements for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# ing1 = Ingolia et al. 2009 mRNA (average of two replicates)
# ger1 = Gerashchenko et al. 2012 mRNA
# mcm1 = McManus et al. 2014 mRNA
# sub1 = Subtelny et al. 2014 mRNA
# rd.ing1 = Ingolia et al. 2009 ribosome footprint density (average of two replicates)
# rd.ger1 = Gerashchenko et al. 2012 ribosome footprint density
# rd.ger2 = Gerashchenko et al. 2014 ribosome footprint density
# rd.mcm1 = McManus et al. 2014 ribosome footprint density (average of two replicates)
# rd.sub1 = Subtelny et al. 2014 ribosome footprint density
# mrna.median = Median of normalized mRNA measurements from ribosome profiling studies, excluding Ingolia et al. 2009
# mrna.n = Number of mRNA-level measurements from ribosome profiling studies, excluding Ingolia et al. 2009
# rd.median = Median of normalized ribosome footprint density measurements
# rd.n = Number of ribosome footprint density measurements from ribosome profiling studies
# te = Translational efficiency (rd.median/mrna.median)
orf	gene	ing1	ger1	mcm1	sub1	rd.ing1	rd.ger1	rd.ger2	rd.mcm1	rd.sub1	mrna.median	mrna.n	rd.median	rd.n	te
YAR035W	YAT1	0.02991	0.067505	0.182181	0.1046	0.01757	0.036431	0.065473	0.08415	0.029937	0.104593	3	0.036431	5	0.34831
YAR042W	SWH1	0.26625	0.374848	NA	0.9505	0.43252	0.835023	0.768494	NA	0.580141	0.662649	2	0.674318	4	1.01761
YAR050W	FLO1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YAR064W		NA	NA	NA	NA	NA	NA	NA	0.00267	NA	NA	0	0.002671	1	NA
YAR066W		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YAR068W		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YAR071W	PHO11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YBL001C	ECM15	8.01560	13.659603	1.249357	4.5102	9.35974	14.032268	8.869325	2.26142	8.947514	4.510168	3	8.947514	5	1.98385
YBL002W	HTB2	21.09110	NA	NA	15.4319	63.61714	NA	NA	NA	41.556319	15.431912	1	52.586729	2	3.40766
YBL003C	HTA2	NA	NA	9.658760	NA	NA	NA	NA	12.22608	NA	9.658760	1	12.226075	1	1.26580
YBL004W	UTP20	0.50453	0.414124	1.270559	2.2754	1.11179	1.438485	1.442605	7.00198	0.924416	1.270559	3	1.438485	5	1.13217
YBL005W	PDR3	0.29781	0.755298	0.969802	0.4816	0.21350	0.649350	0.389626	0.55300	0.180075	0.755298	3	0.389626	5	0.51586
YBL005W-A		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YBL005W-B		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YBL006C	LDB7	5.93714	3.949787	0.931324	1.5883	2.33183	1.534963	2.175897	0.98311	1.841575	1.588301	3	1.841575	5	1.15946
YBL007C	SLA1	0.57675	0.999624	2.654196	2.8942	4.29008	3.721631	4.176816	7.63245	2.836071	2.654196	3	4.176816	5	1.57367
YBL008W	HIR1	0.52817	0.525543	0.817461	0.4666	0.38968	0.511084	0.458128	0.80278	0.307988	0.525543	3	0.458128	5	0.87172
YBL008W-A		0.09370	NA	NA	NA	0.07687	0.070453	0.068091	NA	NA	NA	0	0.070453	3	NA
YBL009W	ALK2	0.28892	0.657051	1.276841	0.4993	0.83991	0.858605	1.007790	1.12336	0.548163	0.657051	3	0.858605	5	1.30676
YBL010C		1.13702	0.736582	0.544189	0.3522	0.64983	0.797180	0.700120	0.36599	0.478084	0.544189	3	0.649828	5	1.19412
YBL011W	SCT1	0.64712	1.323826	2.022057	1.3194	0.66445	0.974681	1.106435	1.72712	0.707827	1.323826	3	0.974681	5	0.73626
YBL013W	FMT1	0.05749	0.104541	0.100514	0.1802	0.28445	0.170690	0.243789	0.31390	0.177127	0.104541	3	0.243789	5	2.33199
YBL014C	RRN6	0.58539	0.783640	0.961164	0.5483	0.07943	0.193983	0.197214	0.31123	0.121789	0.783640	3	0.193983	5	0.24754
YBL015W	ACH1	0.41581	0.379944	1.261921	0.4906	0.92198	0.830348	0.889015	1.21820	0.779267	0.490577	3	0.889015	5	1.81218
YBL016W	FUS3	1.38706	0.955109	0.056539	0.7512	1.24853	0.723923	1.325653	0.01469	1.071606	0.751217	3	1.071606	5	1.42649
YBL017C	PEP1	0.71099	0.474784	1.745644	1.8498	1.82715	2.151020	1.919116	7.61508	1.587338	1.745644	3	1.919116	5	1.09937
YBL018C	POP8	3.71870	4.354353	0.474300	1.5416	2.49357	2.466125	2.569862	0.65585	1.916417	1.541572	3	2.466125	5	1.59975
YBL019W	APN2	0.63349	0.337200	0.741290	0.1726	0.16072	0.216369	0.178881	0.26047	0.131995	0.337200	3	0.178881	5	0.53049
YBL020W	RFT1	1.28980	0.950596	1.536764	0.8189	0.58410	0.941715	0.976543	1.21286	0.446332	0.950596	3	0.941715	5	0.99066
YBL021C	HAP3	2.09175	1.145872	0.245788	0.6304	1.12879	1.576069	1.076266	0.24578	1.293185	0.630428	3	1.128790	5	1.79051
YBL022C	PIM1	0.59654	0.991651	1.312178	2.4208	2.46021	2.731504	2.649970	6.24194	1.920953	1.312178	3	2.649970	5	2.01952
YBL023C	MCM2	0.53603	0.446441	1.023986	0.6949	0.83911	1.236365	0.992975	1.68571	0.853883	0.694871	3	0.992975	5	1.42901
YBL024W	NCL1	1.88147	2.630636	2.880352	2.6459	5.70452	6.312026	6.732788	6.25930	3.854153	2.645875	3	6.259302	5	2.36568
YBL025W	RRN10	2.44401	1.017114	0.514349	NA	1.14128	1.262105	1.033337	0.26181	NA	0.765731	2	1.087308	4	1.41996
YBL026W	LSM2	6.09192	6.371545	0.987863	3.2421	10.49101	6.695485	8.691034	2.24806	6.273829	3.242058	3	6.695485	5	2.06520
YBL027W	RPL19B	NA	NA	10.604219	NA	NA	NA	NA	14.08944	NA	10.604219	1	14.089440	1	1.32866
YBL028C		13.09040	7.345437	0.904625	2.8050	13.58610	5.880471	9.952806	1.72311	6.410359	2.804959	3	6.410359	5	2.28537
YBL029C-A		1.66403	0.716652	0.407553	NA	1.54278	0.689714	1.362548	0.47686	NA	0.562102	2	1.026131	4	1.82552
YBL029W		0.34876	0.098689	0.714591	NA	0.30722	0.075683	0.112074	0.32993	NA	0.406640	2	0.209645	4	0.51555
YBL030C	PET9	1.73872	5.977658	6.373996	7.3764	17.07141	16.321049	15.998928	13.82229	17.510384	6.373996	3	16.321049	5	2.56057
YBL031W	SHE1	0.37746	0.603541	0.533980	0.3575	0.61617	0.346840	0.481313	0.31256	0.238815	0.533980	3	0.346840	5	0.64954
