SystematicName,40 fL,45 fL,50 fL,55 fL,60 fL,65 fL,70 fL,75 fL,Gene
YBL016W,0.874108378,-0.113952008,-0.293819813,-0.41880659,-0.944614304,-0.412293283,0.365043494,0.163978257,FUS3
YBL017C,-0.227423955,-0.45985614,-0.132427441,-0.047155747,-0.054542474,0.193960302,0.324159026,0.238678223,PEP1
YBL018C,-0.889172632,-0.079781281,-0.5266916,-0.005625225,0.467812412,0.318212919,0.449551003,-0.271929945,POP8
YBL019W,0.857951228,-0.270328565,0.092307616,-0.014749964,-0.245555597,-0.043947162,-0.279280166,-0.588543157,APN2
YBL020W,0.26926268,-0.143651647,-0.144594893,0.27844061,-0.091335779,-0.276401176,-0.054969049,0.063710449,RFT1
YBL021C,0.841115382,0.113838844,-0.023922212,-0.332375688,-0.32014804,-0.228704899,-0.358526031,-0.129213752,HAP3
YBL022C,0.423225033,0.149024373,-0.037588433,-0.158610171,-0.424182687,-0.251976861,0.197206281,-0.076117384,PIM1
YBL023C,0.171985112,-0.146561629,0.063323406,0.150971934,-0.549932046,-0.255549697,-0.079239992,0.430315106,MCM2
YBL024W,0.121533437,0.194527673,0.171454175,0.106614017,-0.403823109,-0.638930783,-0.196771036,0.372201178,NCL1
YBL025W,-0.113328361,-0.449682671,0.012221434,0.128482555,-0.108118025,-0.275783519,0.131358551,0.477748703,RRN10
YBL026W,-0.788635392,-0.050322254,-0.387584108,-0.255035853,0.40798423,0.348831817,0.641564002,-0.529834797,LSM2
YBL027W,-0.253043576,-0.284370069,-0.217426329,-0.163083732,0.072709323,0.354200409,0.211564245,0.135736358,RPL19B
YBL028C,-0.135671881,0.931588257,0.458546811,-0.007590952,-0.201195429,-0.814150078,-0.839036682,-0.293569881,NA
YBL029C-A,-0.394236784,-0.567306563,0.16224757,0.134916933,0.724530177,0.190243014,0.0502821,-0.947895165,NA
YBL029W,-0.192893662,-0.260204301,0.486606559,-0.293937017,0.187221746,0.138783599,-0.032863268,-0.223746344,NA
YBL030C,-0.231389677,-0.626525777,-0.16604942,-0.573395262,-0.123869387,0.421652593,0.609671722,0.20669621,PET9
YBL031W,-1.115200238,-1.649390613,-0.312330068,0.497727764,0.226416192,0.060080089,0.456143801,0.503808097,SHE1
YBL032W,-1.679211914,-1.385930582,-0.677134599,0.030331576,0.108006953,0.354122925,0.694351837,0.752189683,HEK2
YBL033C,0.518426957,-0.579654845,-0.081247259,-0.113098995,-0.380609735,-0.253464455,0.030069764,0.486034406,RIB1
YBL034C,-0.96462567,-0.732992007,-0.243723652,0.084450322,0.386621817,0.31919701,0.401545263,0.144308702,STU1
YBL035C,-1.480674754,-0.818913437,0.267676144,0.706786474,0.575671118,-0.247028392,-0.285907356,0.118428915,POL12
YBL036C,0.071736198,0.553146528,0.132922363,-0.16810891,-0.141691472,-0.17475172,-0.23814933,-0.225990413,NA
YBL037W,-0.416062709,-1.232636161,-0.611147784,-0.247743053,-0.014212642,0.573397007,0.738170309,0.24101756,APL3
YBL038W,-0.206208805,-0.044426017,-0.019611329,-0.20633965,-0.024967128,0.11125077,0.208436124,0.126758997,MRPL16
YBL039C,0.894503991,0.53433245,-0.170656014,-0.297332578,-0.436890345,-0.388417991,-0.601004276,-0.271293382,URA7
YBL039C-A,1.466174973,-0.090521793,-0.493835296,0.140551825,-4.206784009,NA,-3.283652772,1.219480746,NA
YBL039W-B,-1.111740452,-0.578006095,0.362237554,-0.109284601,0.852711716,0.061224511,0.238329863,-0.675671871,NA
YBL040C,-0.540275552,-0.223951482,0.02885196,0.048016399,0.27438521,-6.50264e-4,0.357080895,-0.132512634,ERD2
YBL041W,0.298916063,0.045546276,-0.149757894,-0.178430749,-0.144921045,0.004737778,0.054648717,0.009084167,PRE7
YBL042C,0.563516879,-0.351873915,-0.785644053,-0.402741229,-0.678424772,0.268668565,0.431089539,0.291910228,FUI1
YBL043W,1.077255301,0.144750155,0.015217342,-0.115569265,-0.828327203,-0.726126693,-0.34885242,-0.155363579,ECM13
YBL044W,0.561426986,-0.263289096,-1.531222302,-0.263289096,-0.145932146,-0.338577224,0.092472594,0.808264165,NA
YBL045C,-1.250531588,-1.184576462,-0.053432762,-0.36045636,0.089201528,0.332568587,0.874716052,0.310936123,COR1
YBL046W,-0.390848589,-0.704218816,-0.122161462,0.250679474,-0.076930413,-0.059561835,0.14518015,0.586375724,PSY4
